country,type,paid,needs_registration,governmental,agency,url,notes
Afghanistan,Intellectual Property,f,f,t,Afghanistan Central Business Registry and Intellectual Property  Ministry of Commerce and Industry,http://acbr.gov.af/,
Armenia,Intellectual Property,f,f,t,Intellectual Property Agency of the Republic of Armenia  Ministry of Economy of the Republic of Armenia,http://www.aipa.am/hy/,
Armenia,Business Registry,f,f,f,NasdayOmx,http://www.nasdaqomx.am/en/issuer_reports.htm,Reports of traded companies. Information available only in Armenian.
Armenia,Business Registry,f,f,t,Central Bank of Armenia,https://www.cba.am/am/SitePages/Default.aspx,Financial reports of traded companies. Information available only in Armenian.
Azerbaijan,Intellectual Property,f,f,t,"State Committee on Standardization, Metrology and Patents of the Republic of Azerbaijan",http://www.azstand.gov.az/,
Azerbaijan,Business Registry,f,t,t,Ministry of Taxes of Azerbaijan,https://www.e-taxes.gov.az/ebyn/commersialChecker.jsp,Available: search by name (in capital letters) and by company number.
Azerbaijan,Regulatory Agency,f,f,t,National Depository System,http://mdm.az/index.php?r=1&lang=en,A lot of information is only available in Azeri
Bahrain,Intellectual Property,f,f,t,Directorate of Industrial Property  Ministry of Industry and Commerce,http://www.moic.gov.bh/moic/en/,
Bahrain,Business Registry,f,f,t,Ministry of Industry and Commerce,http://www.moic.gov.bh/MoIC/En/Main/eServices/Commercial+Registration+Inquiry/,
Bahrain,Regulatory Agency,f,f,t,Central Bank of Bahrain,http://www.cbb.gov.bh/page.php?p=cbb_register,A list of licensed financial institutions (and companies) in Bahrain
Bahrain,Business Registry,f,f,t,Ministry of Industry and Commerce,http://www.moic2.gov.bh/eInvestor.Web/Web.UI.Pages/Online/Inquiry/Inquiry.aspx?inq=1,
Bahrain,Business Registry,f,f,t,Bahrain Stock Exchange,http://www.bahrainbourse.net/bhb/default.asp?language=en,Available: financial reports of listed companies
Bangladesh,Intellectual Property,f,f,t,"Department of Patents, Designs and Trademarks (DPDT)  Ministry of Industries",http://www.dpdt.gov.bd/,
Bangladesh,Court Registry,f,f,t,Supreme Court of Bangladesh,http://www.minlaw.gov.bd/supremecourt.htm,
Bangladesh,Business Registry,f,f,t,Office of the Registrar,http://www.roc.gov.bd:7781/psp/nc_search?p_user_id=,Available: basic information on joint stock and limited companies
Bhutan,Court Registry,f,f,t,Supreme Court of Bhutan,http://www.judiciary.gov.bt/,
Bhutan,Business Registry,f,f,t,Ministry of Economic Affairs,http://www.moea.gov.bt/content/index.php,No online data available.
Brunei,Intellectual Property,f,f,t,Brunei Intellectual Property Office (BruIPO)  The Brunei Economic Development Board (BEDB),http://www.brunei-patents.com.bn/cgi-sys/suspendedpage.cgi,Account of government suspended.
Brunei,Court Registry,f,f,t,Supreme Court of Brunei Darussalam,http://www.judicial.gov.bn/supr_court.htm,
Cambodia,Business Registry,f,f,t,Ministry of Commerce,http://www.moc.gov.kh/,
Cambodia,Business Registry,f,f,t,Global Witness,https://cambodiacorporates.globalwitness.org,"To the best of Global Witness’ knowledge, Cambodia Corporates includes all company registration and amendment records that were stored on the MoC’s corporate registry in February 2016."
China,Intellectual Property,f,f,t,Patent Office  State Intellectual Property Office of the Peoples' Republic of China (SIPO),http://www.sipo.gov.cn/,
China,Business Registry,f,f,t,State Administration for Industry and Commerce,http://gsxt.saic.gov.cn/,
China,Business Registry,f,f,t,Shenzhen Stock Exchange,http://www.szse.cn/main/en/marketdata/stockquotes/,Available: search by code; historical data on company
China,Business Registry,f,f,t,State Administration for Industry and Commerce,http://www.saic.gov.cn/ywbl/zxcx/djqyxxcx/index.html,A list of authorities and company regulators. Some information about foreign invested companies might be available at request.
Georgia,Intellectual Property,f,f,t,National Intellectual Property Center (Sakpatenti),http://www.sakpatenti.org.ge/,
Georgia,Commercial Registry,f,f,f,CompanyInfo.ge,http://www.companyinfo.ge/en/,"A scraped database of companies searchable by company name, directors and shareholders, company ID etc.
Database will be updated from time to time."
Georgia,Business Registry,f,t,t,Revenue,https://www.revenue.mof.ge/rtos/auto_login.aspx,Available only in Georgian
Georgia,Business Registry,f,f,t,Business Registry,https://enreg.reestri.gov.ge/main.php,"Available: search for enterpreneurs, limited companies and nonprofits. Only in Georgian"
Georgia,Business Registry,f,f,t,Electronic Governmental Resources,http://e-government.ge/index.php?lang=4&id=-1&p=start&page=1,"Available: cadastral data, company status, birth and death certificates, other citizen affairs related documents"
Georgia,Business Registry,f,f,t,Georgian Stock Exchange,http://www.gse.ge/Stocks/Issues.htm,"Available in English and Georgian, offers information and reports of issuers"
Hong Kong,Land Registry,f,f,f,Hong Kong Lands Tribunal,http://www.hklii.hk/eng/hk/cases/hklt/,Online access from 1982-2014
Hong Kong,Business Registry,f,f,t,Hong Kong Stock Exchange,http://www.hkex.com.hk/eng/market/sec_tradinfo/englishstk.htm,Available: basic information on issuers
Hong Kong,Business Registry,t,t,t,Hong Kong Government,http://www.gov.hk/en/residents/taxes/etax/services/brn_enquiry.htm,"Available: a procedure for obtaining information about ""unlimited"" companies in Hong Kong"
Hong Kong,Business Registry,t,f,t,Integrated Companies Registry Information System,http://www.icris.cr.gov.hk/csci/,"Available: image record (including document index), company particular search, directors index search (company based), register of charges, director particular search etc."
Hong Kong,Business Registry,f,f,t,Securities Commission,http://www.sfc.hk/publicregWeb?locale=en,
India,Intellectual Property,f,f,t,"Office of the Controller-General of Patents, Designs and Trademarks Department of Industrial Policy Promotions Ministry of Commerce and Industry Government of India",http://www.ipindia.nic.in/,
India,Business Registry,f,f,t,Ministry of Corporate Affairs,http://www.mca.gov.in/DCAPortalWeb/dca/MyMCALogin.do?method=setDefaultProperty&mode=12,Available: search by company name or number and basic company information
India,Business Registry,f,f,t,Bombai Stock Exchange,http://www.bseindia.com/,Available: list of issuers and reports for some companies
India,Business Registry,f,f,t,National Stock Exchange of India,http://www.nseindia.com/,Available: list of issuers and reports for some companies
India,Business Registry,f,f,t,Securities and Exchange Board of India,http://www.sebi.gov.in/sebiweb/,Available: list of issuers and basic company information
Indonesia,Intellectual Property,f,f,t,Directorate General of Intellectual Property Rights Ministry of Law and Human Rights,http://merek-indonesia.dgip.go.id/,
Indonesia,Business Registry,f,f,t,Industrial Comany Directory,http://kemenperin.go.id/direktori-perusahaan,
Indonesia,Business Registry,f,f,t,Indonesia Stock Exchange,http://www.idx.co.id/Home/ListedCompanies/CompanyProfile/tabid/89/language/en-US/Default.aspx,Available: list of issuers and reports for some companies
Indonesia,Business Registry,f,f,t,Ministry of Trade,http://www.kemendag.go.id/en/perdagangan-kita/company-directory/data-center-collection/,Available: basic company information
Iran,Intellectual Property,f,f,t,Industrial Property Office Registration Organization of Deeds and Property of Islamic Republic of Iran,http://iripo.ssaa.ir/,
Iran,Business Registry,f,f,t,Iranian Official Journal,http://www.gazette.ir/Archive/Index.asp,Available only in Persian
Iran,Business Registry,f,f,t,Teheran Stock Exchange,http://en.tsetmc.com/Loader.aspx?ParTree=121C1417,Available: basic information for all listed companies and reports for some
Iran,Business Registry,f,f,t,SEBA,http://www.seba.ir/,Available only in Persian
Israel,Intellectual Property,f,f,t,Israel Patent Office Ministry of Justice,http://www.patent.justice.gov.il/MojHeb/RashamHaPtentim,
Israel,Business Registry,f,f,f,Israel Company Profiles,https://www.israelbizreg.com/,"The only English language index of Israeli companies.
Updated approximately every six months. It does not include previous names of companies."
Israel,Court Registry,f,f,f,Nevo,http://www.nevo.co.il/,Available only in Hebrew. Some information on court records and procedures.
Israel,Business Registry,f,f,t,Israely Corpration Authority,http://havarot.justice.gov.il/,Available: search by company name to find the company number needed for futher research
Israel,Business Registry,f,f,t,Israel Securities Authority,http://www.isa.gov.il/Default.aspx?Site=ENGLISH&id=-17,Available: list of issuers with basic company information
