imo,Title,Type,Country,State,Paid,Registration required,Governmental,Website,Description
115,Trademarks Office of the Principality of Andorra Department of Economy  Ministry of Economy and Land Management,ip,AD,,FALSE,FALSE,TRUE,https://www.ompa.ad/en/databases,"The Trademark Registry includes a search engine for trademarks registered in Andorra. The "".ad domain names"" database allows a search of "".ad"" domain names authorized by the State Signs Service and. The results include registration and expiration date of the domain, owner's name and address, license number, and name of goods and services provided by the organization. You can search in both English and Catalan."
,"Official Bulletin, Andorra",business,AD,,FALSE,FALSE,TRUE,https://www.bopa.ad/Pagines/inici.aspx#,The Official Bulletin search engine allows you to search by company name for government and judiciary public announcements related to the company of interest.
271,Department of Industrial Property  Ministry of Economy,ip,AE,,FALSE,TRUE,TRUE,http://ner.economy.gov.ae/BASearch.aspx,"The National Economic Registry (limited information) includes a search engine for companies by name (English or Arabic), local license number, or economic registration number. The results include basic company information, such as address and phone number. You can also look up economic activities with activity code or name."
475,Abu Dhabi Securities Exchange,business,AE,,FALSE,FALSE,TRUE,http://www.adx.ae/English/Securities/Pages/ListedCompanies.aspx,"The Abu Dhabi Securities Exchange website includes a registry of participants on the market and company disclosures, including news and press releases of company announcements."
506,Dubai Financial Services Authority,business,AE,,FALSE,FALSE,TRUE,http://www.dfsa.ae/Public-Register/Firm,"The Dubai Financial Services Authority website has a limited online register, which does not include all companies registered in Dubai. For the companies that are included, you can get basic company information, such as date of registration, contact information, authorized individuals, and regulatory action information, if available. There is also an option to search by individuals."
518,Ministry of Economy,business,AE,,FALSE,FALSE,TRUE,http://cbls.economy.gov.ae/Search_By_BN.aspx,You can search the UAE Ministry of Economy website by Arabic or English name for basic company information. It is one of the more complete registries for the UAE. It's a good resource for finding the Arabic version of a company name to help conduct further research.
521,Abu Dhabi Chamber of Commerce,business,AE,,FALSE,FALSE,TRUE,https://www.abudhabichamber.ae/en/Pages/CD/General.aspx,"You can search members of the Abu Dhabi Chamber of Commerce by English name and retrieve basic company information such as address, business activity and register date."
561,Sharjah Chamber of Commerce and Industry,business,AE,,FALSE,FALSE,TRUE,http://www.sharjah.gov.ae/BusinessDirectory/Index,"The Sharjah Chamber of Commerce and Industry website allows a search by name and activity, and results include company address, business activity, and sometimes more contact information such as phone number or email address."
608,Abu Dhabi Business Center,business,AE,,FALSE,FALSE,TRUE,https://adbc.abudhabi.ae/CitizenAccess/Welcome.aspx,"This website by the Abu Dhabi Department of Economic Development includes a search for trade names in English, which will give you the Arabic trade name."
658,Dubai Chamber of Commerce,business,AE,,FALSE,FALSE,TRUE,https://dcciinfo.ae/,Trade name search in English and a directory of companies that are members of the Dubai Chamber of Commerce.
