country,type,paid,needs_registration,governmental,agency,url,notes,
Albania,Intellectual Property,f,f,t,"General Directorate of Patents and Trademarks  Ministry of Economic Development, Trade and Industry",http://www.alpto.gov.al/,,
Albania,Court Registry,f,f,t,Albania Supreme Court,http://www.gjykataelarte.gov.al/,,
Albania,Regulatory Agency,f,f,t,Albanian Financial Supervisory Authority,https://amf.gov.al/tletrave.asp?id=2,,
Albania,Business Registry,f,f,t,National Registration Center,http://www.qkr.gov.al/nrc/Kerko_Per_Subjekt.aspx,"Available: historic company extract, current company extract, some original documents",
Andorra,Intellectual Property,f,f,t,Trademarks Office of the Principality of Andorra  Department of Economy  Ministry of Economy and Land Management,http://www.ompa.ad/ca/,,
Austria,Intellectual Property,f,f,t,"The Austrian Patent Office  Federal Ministry for Transport, Innovation and Technology",http://www.patentamt.at/,,
Austria,Court Registry,f,f,t,Austria Supreme Court,http://www.ris.bka.gv.at/,,
Austria,Business Registry,t,t,t,Jusline,http://www.jusline.at/,"Business registry, Land registry, Legal tools resource and a lot of other information is available for purchase",
Austria,Commercial Registry,t,t,f,Firmen ABC,http://www.firmenabc.at/,"Available: company registration number, UID number, names of representatives, date of incorporation, sales, number of employees",
Austria,Business Registry,f,f,t,Vienna Stock Exchange,http://en.wienerborse.at/investors/listedcompanies/,"Available: company registration number, UID number, names of representatives, date of incorporation, sales, number of employees",
Belarus,Intellectual Property,f,f,t,National Center of Intellectual Property (NCIP)  State Committee on Science and Technologies,http://www.belgospatent.org.by/,,
Belarus,Court Registry,f,f,t,Supreme Court of Belarus,http://www.court.by/en,,
Belarus,Business Registry,f,f,t,Belarusian Currency and Stock Exchange,http://www.bcse.by/,,
Belarus,Business Registry,f,t,t,Ministry of Justice of the Republic of Belarus,http://egr.gov.by/egr/,Available: legislation and specific companies information. Available only in Belarusian/Russian,
Belarus,Regulatory Agency,f,f,t,Belarus' National Statistics Committee,http://www.belstat.gov.by/,Available: full annual import and export reports along with other economic statistics and current data. Reports available in English and Russian.,
Belgium,Intellectual Property,f,f,t,Office of Intellectual Property  Directorate General Regulation and Market Organisation (ORPI),http://economie.fgov.be/opri-die.jsp?,,
Belgium,Court Registry,f,f,t,Supreme Court of Belgium,http://www.cass.be/,,
Belgium,Regulatory Agency,f,f,t,Financial Services and Markets Authority,http://stori.fsma.be/Pages/Search.aspx?PageID=d393a9bc-82b0-40ad-b8d2-6a89f70e46fe,Available: list of issuers,
Belgium,Business Registry,f,f,t,Banque-Carrefour des Entreprises,http://kbopub.economie.fgov.be/kbopub/zoekwoordenform.html?lang=fr,"Available: Company's Number, Incorporation date, Public name, Address of Headquarters, Contact information, Company type,",
Belgium,Commercial Registry,t,t,f,B-information,http://www.eurodb.be/scriptsPublic/arianeweb.dll/e/m_mkt_rech,"Available for purchase: extended legal file, credit report, annual accounts",
Belgium,Business Registry,f,f,t,Service Public Fédéral Justice,http://www.ejustice.just.fgov.be/tsv/tsvf.htm,"Available: for some companies there are images of documents available. For example: announcements of changes in the structure of the company, addresses, key personnel etc.",
Bosnia and Herzegovina,Intellectual Property,f,f,t,Institute for Intellectual Property of Bosnia and Herzegovina,http://www.ipr.gov.ba/,,
Bosnia and Herzegovina,Intellectual Property,f,f,t,Institute for Intellectual Property of Bosnia and Herzegovina,http://www.ipr.gov.ba/,,
Bosnia and Herzegovina,Business Registry,f,f,t,Registers of Business Entities,"http://bizreg.pravosudje.ba/pls/apex/f?p=186:20:3456335640372414::NO::P20_SEKCIJA_TIP,P20_POMOC:PRETRAGA,FALSE","Available: registry of companies from Federation of Bosnia and Herzegovina, Republic of Srpska and Brcko District",
Bosnia and Herzegovina,Business Registry,f,f,t,Sarajevo Stock Exchange,http://195.222.43.81/sase-final/,Available: financial reports of issuers,
Bosnia and Herzegovina,Business Registry,f,f,t,Registry of Securities of the Federation BiH,http://www.rvp.ba/english/Section2/SubSection1/Default.aspx,Available: a list of shareholders of all publicaly traded companies,
Bosnia and Herzegovina,Business Registry,f,f,t,Securities Commission of Republika Srpska,http://www.crhovrs.org/index.php?option=com_lqm&task=showPane&application=1&query=1&Itemid=23&lang=en,Available: a list of shareholders of all publicaly traded companies,
Bosnia and Herzegovina,Business Registry,f,f,t,Banja Luka Stock Exchange,http://www.blberza.com/Pages/Default.aspx,Available: financial reports of issuers,
Bulgaria,Intellectual Property,f,f,t,Patent Office of the Republic of Bulgaria (BPO),http://www.bpo.bg/,,
Bulgaria,Court Registry,f,f,t,Supreme Court of Bulgaria,http://www.vks.bg/english/,,
Bulgaria,Business Registry,f,f,t,Bulgarian Stock Exchange,http://www.bse-sofia.bg/?page=FinancialReportsOfIssuers,Available: all financial reports of issuers.,
Bulgaria,Commercial Registry,t,t,f,Daksi,http://www.daxy.com/cgi-bin/page.py?ind=news,Available only in Bulgarian,
Bulgaria,Commercial Registry,t,t,f,Ciela Norma,http://www.ciela.net/products.aspx?lang=en&prodID=22,Available: active legislation in Bulgaria and government gazette,
Croatia,Intellectual Property,f,f,t,State Intellectual Property Office of the Republic of Croatia (SIPO),http://www.dziv.hr/,,
Croatia,Business Registry,f,f,t,Croatian Financial Services Supervisory Agency,http://www.hanfa.hr/en/mainpage.html,"Available: Issuers list, Participants list, Corporate Actions, Ticker and ISIN, Securities overview, Statistics",
Croatia,Business Registry,f,f,t,Croatian Export Directory,http://www2.hgk.hr/izvoznici/index.asp?mbr=&lang=en,"Search by name, primary activity, customs tariff (type of pruduct), type of services; Available: contact information, contact person, business activities, primary business activities, size, ownership structure, origin of capital,",
Croatia,Business Registry,f,f,t,Ministry of Justice Business Registry,https://sudreg.pravosudje.hr/registar/f?p=150:1,"Available: search by number and by name, with detailed company information.",
Croatia,Business Registry,f,f,t,The Zagreb Stock Exchange,http://www.zse.hr/default.aspx?id=26484,"Available: all listed bonds, shares, issuers and their reports",
Croatia,Business Registry,f,f,t,Chamber of Commerce Company Registry,http://www1.biznet.hr/HgkWeb/do/language?lang=en_GB,"Available: search by number and by name, with detailed company information.",
Cyprus,Intellectual Property,f,f,t,"Department of Registrar of Companies and Official Receiver Ministry of Commerce, Industry and Tourism",http://www.mcit.gov.cy/mcit/mcit.nsf/dmlregistar_en/dmlregistar_en?OpenDocument,,
Cyprus,Business Registry,t,t,t,Department of Registrar of Companies and Official Receiver,https://efiling.drcor.mcit.gov.cy/DrcorPublic/SearchForm.aspx?sc=0&lang=EN&cultureInfo=en-AU,"Available: search by company name and number, provides detailed historical company information. Internet Explorer needed",
Czech Republic,Business Registry,f,f,f,Biz Biz,http://www.bizbiz.cz/,"Search offers a full overview of all the people in the company and their current positions. A click on the name of the person gives an overview of all the other companies in Czech Republic where their name appears.
All the information is only current, no historic data is available. Information derives from the official company registry.",
Czech Republic,Land Registry,t,t,t,Czech Official Land Registry,http://nahlizenidokn.cuzk.cz/,"The Czech Official Land Registry is a paid database and requires an account. It provides details of land and building owners, including any registered legal issues as well as lists of other properties owned by the same owner.",
Czech Republic,Commercial Registry,f,f,f,Regiony Kurzy.cz,http://regiony.kurzy.cz/,Available: search by address to find all companies registered at the same location.,
Czech Republic,Business Registry,f,f,t,ARES - Access to Registers of Economic Subjects,http://wwwinfo.mfcr.cz/ares/ares.html.en,ARES is a database administered by the Czech Ministry of Finances. Available: search by company or person name to identify information registered with administrative institutions in the country.,
Czech Republic,Intellectual Property,f,f,t,Industrial Property Office,http://www.upv.cz/cs.html,,
Czech Republic,Business Registry,f,f,t,Ministry of Finance Business Registry,http://wwwinfo.mfcr.cz/ares/ares_es.html.cz,"Available: basic company information, scope of business, capital, statutory authority, shareholders, reports",
Czech Republic,Commercial Registry,f,f,f,Kurzy.cz,http://rejstrik-firem.kurzy.cz/,Available: search by personal and business name with basic information in results,
Czech Republic,Business Registry,f,f,f,Firmy.cz,http://www.firmy.cz/,Available: basic company information and links to websites,
Czech Republic,Business Registry,f,f,t,Czech National Bank,https://oam.cnb.cz/sipresextdad/SIPRESWEB.WEB21.START_INPUT_OAM?p_lang=en,Available: a list of all issuers with historical information,
Czech Republic,Business Registry,f,f,t,Ministry of Justice Official Registry,http://portal.justice.cz/Justice2/uvod/uvod.aspx,"Seacrh by company name, by personal name; Available: detailed historical company information and original documents",
Czech Republic,Business Registry,f,f,t,Prague Stock Exchange,http://www.pse.cz/Members.aspx,Available: exchange members list,
Denmark,Intellectual Property,f,f,t,Danish Patent and Trademark Office  Ministry of Trade and Industry,http://www.dkpto.org/,,
Denmark,Commercial Registry,t,t,f,BIQ,http://www.biq.dk/search/advanced/company,Available: search by personal and company name with detailed results,
Denmark,Business Registry,f,f,t,Ministry of Business and Growth - FSA,http://www.dfsa.dk/en/Tal-og-fakta/Virksomheder-under-tilsyn/VUT-database.aspx,,
Denmark,Business Registry,f,t,t,Central Business Registry - CVK,http://www.cvr.dk/Site/Forms/CMS/DisplayPage.aspx?pageid=21,Available: search by personal and company name with detailed results,
Estonia,Intellectual Property,f,f,t,The Estonian Patent Office,http://www.epa.ee/,,
Estonia,Business Registry,t,t,t,Centre of Registers and Information Systems,http://www.rik.ee/en/e-business-register,Available: detailed company information,
Finland,Intellectual Property,f,f,t,National Board of Patents and Registration of Finland,http://www.prh.fi/fi/index.html,,
Finland,Commercial Registry,t,t,f,Asiakastieto.fi,http://www.asiakastieto.fi/en/web/guest,Available: due diligence information on companies,
Finland,Business Registry,t,t,t,Business Information System,http://www.ytj.fi/english/,Available: detailed company information,
France,Gazette,f,f,t,Bulletin of Obligatory Legal Announcements,http://www.journal-officiel.gouv.fr/balo,"The 'Bulletin des Annonces Légales Obligatoires' contains notices, mostly published by companies. These include annual accounts, securities issues and mergers. This site contains full information for the last 3 years, and some older data.",
France,Land Registry,f,f,t,National Institute of Industrial Property,http://www.inpi.fr/fr/accueil.html,,
France,Business Registry,f,f,t,Paris Court Registry,http://www.greffe-tc-paris.fr/fr/,Available: search for companies and directors in Paris,
France,Business Registry,f,f,t,Ministry of Economy and Finance - Cadastre,http://www.cadastre.gouv.fr/scpc/changeLangue.do?lang=en&cty=EN,"Available: land registry information for France, Martinique, Guadeloupe, Guyane, Réunion",
France,Commercial Registry,f,t,f,Societe.com,http://www.societe.com/,Available: purchase of financial and other records of French companies,
France,Business Registry,f,f,t,Financial Markets Authority,http://www.amf-france.org/en_US/Recherche-avancee.html?formId=BDIF,Available: financial records of traded companies,
France,Business Registry,t,f,t,Registry of Commerce and Companies,https://www.infogreffe.fr/societes/,"Available: detailed company information and search by company name, number or director's name",
Germany,Intellectual Property,f,f,t,German Patent and Trade Mark Office (DPMA),http://www.dpma.de/,,
Germany,Business Registry,f,f,t,Hamburg Stock Exchange,http://www.hamburger-boerse.de/en/,Available: list and basic information of all issuers,
Germany,Business Registry,f,f,t,The Association of German Chambers of Commerce and Industry,http://www.dihk.de/ihk-finder,Available: a list of all German Chambers of Commerc and their authority,
Germany,Regulatory Agency,f,f,t,Federal Financial Supervisory Authority,https://portal.mvp.bafin.de/database/InstInfo/,Available: search of listed companies and reports. Only available in German,
Germany,Business Registry,f,f,t,Düsseldorf Stock Exchange,http://www.boerse-duesseldorf.de/home,Available: list and basic information of all issuers,
Germany,Business Registry,t,f,t,Company Register,https://www.unternehmensregister.de/ureg/?submitaction=language&language=en,Available: detailed company information with original documents for some,
Germany,Business Registry,f,f,t,Hamburg-Hannover Stock Exchange,http://kurse.boersenag.de/anleihen/emittenten,Available: list and basic information of all issuers,
Gibraltar,Business Registry,t,f,t,Companies Houses,http://www.companieshouse.gi/,Available: detailed company information can be obtained by submiting a search request form,
Gibraltar,Business Registry,f,f,t,Gibraltar Chamber of Commerce,http://www.gibraltarchamberofcommerce.com/members-directory/,Available: comapny name,
Greece,Intellectual Property,f,f,t,Patent Office Industrial Property Organization (OBI),http://www.obi.gr/obi/Default.aspx?tabid=71&,,
Greece,Land Registry,f,f,t,National Cadastre and Mapping Agency SA,http://www.ktimatologio.gr/sites/en/Pages/Default.aspx,No information available online.,
Greece,Business Registry,f,f,t,Official Gazette,http://www.et.gr/,Available: changes that occur in companies. Only available in Greek,
Greece,Regulatory Agency,f,f,t,SEC,http://www.hcmc.gr/pages/epeypar.asp?catId=107,Available: a list of companies,
Greece,Business Registry,f,f,t,Athens Stock Exchange,http://www.ase.gr/content/en/Companies/ListedCo/Profiles/,Available: a list of issuers with basic information,
Guernsey,Business Registry,t,f,t,Guernsey Registry,https://www.greg.gg/webCompSearch.aspx,Available: basic company information, Available for purchase: more detailed company information
