country,type,paid,needs_registration,governmental,agency,url,notes
Argentina,Intellectual Property,f,f,t,National Institute of Industrial Property (INPI),http://www.inpi.gov.ar/,
Argentina,Court Registry,f,f,t,Argentina Supreme Court,http://www.csjn.gov.ar/,
Argentina,Regulatory Agency,f,f,t,Afip- Administración Federal de Ingresos Públicos,http://www.afip.gob.ar/home/index.html,Task agency.
Argentina,Regulatory Agency,f,f,t,Presidencia de la Nación,http://audiencias.jgm.gob.ar/registrodeaudiencias/searchjgm.php?,"Registry of Public Hearing. Avaiable search by key word, name of public servant, others."
Argentina,Gazette,f,f,t,Presidencia de la Nación,http://www.boletinoficial.gov.ar/Inicio/Index.castle,Daily offcial gazzete. Avaiable: download.
Argentina,Intellectual Property,f,f,f,National Government Data,http://datospublicos.gov.ar/,Open Data Catalog.
Argentina,Regulatory Agency,f,f,f,Sworn Statement,http://interactivos.lanacion.com.ar/declaraciones-juradas/#pd=0,"Declaraciones juradas del Poder Judicial, Ejecutivo y Legislativo. 1992-2012."
Argentina,Business Registry,f,f,t,Oficina Nacional de Contrataciones,https://www.argentinacompra.gov.ar/prod/onc/sitio/Paginas/Contenido/FrontEnd/index2.asp,"Proveedores del Estado. Habilitada búsqueda online por CUIT, denominación, provincia y rubro."
Argentina,Land Registry,f,f,f,Court Registry,http://www.cij.gov.ar/sentencias.html,"Available: a search for court cases with some original documents available for download. Search by: date, case number, key word."
Argentina,Business Registry,f,f,t,National Securities Commission,http://www.cnv.gob.ar/InfoFinan/BuscoSociedades.asp?TamanioSocID=0&Lang=1,
Argentina,Business Registry,f,f,t,Ministry of Justice and Human Rigths,https://www2.jus.gov.ar/igj-homonimia/Principal.aspx,
Argentina,Business Registry,f,f,t,Buenos Aires Stock Exchange,http://www.bolsar.com/VistasDL/PaginaPrincipal.aspx,Offers quite detailed company information
Argentina,Commercial Registry,t,t,f,Nosis,http://www.nosis.com/es,Available: search by company name
Argentina,Commercial Registry,t,t,f,Informe Multiburo,https://www.informemultiburo.com/busquedaonline,"Available: search for information about individuals by name, CUIT or DNI"
Bolivia,Intellectual Property,f,f,t,Servicio Nacional de Propiedad Intelectual (SENAPI)  Ministerio de Desarrollo Productivo y Economía Plural,http://www.senapi.gob.bo/,
Bolivia,Court Registry,f,f,t,Supreme Court of Bolivia,http://tsj.bo/,Available: court decisions of the Supreme Court of Bolivia
Bolivia,Business Registry,f,f,f,Bolsa Boliviana de Valores,https://www.bbv.com.bo/,
Bolivia,Business Registry,f,f,f,Fundempresa,http://www.fundempresa.org.bo/registro-de-comercio-de-bolivia/como-inscribir-una-empresa-en-bolivia/,"Registro de Comercio de Bolivia. Habilitada consulta de empresas Ingresar a consulta de empresas por nombre, palabra clave, matrícula, número de identificación o licencia de funcionamiento."
Bolivia,Business Registry,f,f,t,Commercial Registry of Bolivia,http://www.fundempresa.org.bo/,No online data available.
Bolivia,Business Registry,f,f,t,Ministerio de Economía y Finanzas Públicas de Bolivia,https://www.sicoes.gob.bo/portal/index.php,"Available: information about service providers to the government. Search is available by company name, number type of service or country of registration."
Bolivia,Business Registry,f,t,t,RUAT - Registro Unico para la Administracion Tributaria,http://www.ruat.gob.bo/Principal.jsf,"Available:
information about vehicles http://www.ruat.gob.bo/vehiculos/MenuVehiculos.jsf
information about immovable assets http://www.ruat.gob.bo/inmuebles/MenuInmuebles.jsf"
Brazil,Intellectual Property,f,f,t,"National Institute of Industrial Property  Ministry of Development, Industry and Foreign Trade (INPI)",http://www.inpi.gov.br/portal/,
Brazil,Court Registry,f,f,t,Supreme Court of Brazil,http://www.stf.jus.br/portal/principal/principal.asp,
Brazil,Business Registry,f,t,t,Junta comercial de São Paulo,http://www.institucional.jucesp.sp.gov.br,Business Registry. Registration required.
Brazil,Business Registry,f,f,t,Portal de Transparencia,http://www.portaltransparencia.gov.br/,Budget and financial execution of the federal government. Searche available.
Brazil,Business Registry,f,f,t,Portal do Tribunal de Contas da Union,http://portal2.tcu.gov.br/TCU,
Brazil,Business Registry,f,f,t,Junta Comercial do Estadovde Goiás,http://www.juceg.go.gov.br/,Available only in Portuguese.
Brazil,Business Registry,f,f,t,Secretaria de Relações do Trabalho,http://www3.mte.gov.br/sistemas/sirett/consulta/consultarRegistroEmpresaFormulario.asp,Available search by company name or company's number. Only in Portuguese
Brazil,Intellectual Property,f,f,t,Portal Brasileiro de Dados Abertos,http://dados.gov.br/,Available: free and open access to government datasets.
Brazil,Business Registry,f,f,t,Government of Alagoas,http://www.facilita.al.gov.br/consultaprevia,Available only in Portuguese
Brazil,Business Registry,f,f,t,Commercial Registry of São Paulo,http://www.jucesp.fazenda.sp.gov.br/,Available only in Portuguese
Brazil,Business Registry,t,f,t,Commercial Registry of Bahia,http://www.juceb.ba.gov.br/servicos/pesquisa_nome_empresarial,Available only in Portuguese
Brazil,Business Registry,f,t,t,Commercial Registry of Santa Catarina,http://www.jucesc.sc.gov.br/index.php/pesquisa-de-nome,Available only in Portuguese
Brazil,Business Registry,f,t,t,Commercial Registry of Espírito Santo,https://www.jucees.es.gov.br/#informacoes_buscaNire.php,Available only in Portuguese
Brazil,Business Registry,f,f,t,Commercial Registry of Pernambuco,http://iged.jucepe.pe.gov.br:8081/,Available only in Portuguese
Brazil,Business Registry,f,f,t,Commercial Registry of Amapá,http://www.jucap.ap.gov.br/,Available only in Portuguese
Brazil,Business Registry,f,f,t,Commercial Registry of Pará,http://www.jucepa.pa.gov.br/,No online search available.
Brazil,Business Registry,f,f,t,Governo do Estados do Amazonas,http://www.jucea.am.gov.br/busca_nome/,Available: search by company name or number
Brazil,Business Registry,f,t,t,Junta Comercial do Distrito Federal,http://jcdf.smpe.gov.br/,Available: with an account a search by company name is available
Brazil,Business Registry,f,f,t,Governo do Rio de Janeiro,https://www.jucerja.rj.gov.br/JucerjaPortalWeb/Paginas/Servicos/Outros/SituacaoMeEppPWJ.aspx,Available: search only by company number.
Brazil,Business Registry,f,f,t,Securities and Exchange Commission of Brazil,http://www.cvm.gov.br/subportal_ingles/index.html,Available: a list of issuers
